provinsi,jumlah
Jawa Tengah,919
Sumatera Utara,830
Jawa Barat,810
Jawa Timur,793
Banten,732
DKI Jakarta,653
Kalimantan Timur,281
Lampung,275
Sumatera Selatan,234
Sulawesi Selatan,222
Kepulauan Riau,219
Sumatera Barat,210
Kalimantan Tengah,163
Riau,140
Jambi,137
Nusa Tenggara Timur,109
Bali,108
DI Yogyakarta,106
Aceh,97
Kalimantan Barat,91
Nusa Tenggara Barat,86
Sulawesi Tengah,60
Sulawesi Tenggara,59
Bengkulu,59
Kalimantan Selatan,53
Kepulauan Bangka Belitung,53
Papua,52
Papua Barat,33
Sulawesi Utara,30
Maluku,17
Gorontalo,4
Maluku Utara,3
Sulawesi Barat,2
Kalimantan Utara,1
