provinsi,jumlah
Jawa Timur,578
Jawa Barat,439
Jawa Tengah,410
Sumatera Utara,352
Sulawesi Selatan,277
Nusa Tenggara Timur,244
DKI Jakarta,236
Sumatera Selatan,215
Sulawesi Utara,188
Sumatera Barat,186
Kalimantan Selatan,175
Jambi,169
Aceh,164
Lampung,148
Sulawesi Tenggara,113
Banten,113
Nusa Tenggara Barat,95
Gorontalo,93
Bengkulu,82
DI Yogyakarta,80
Kepulauan Riau,66
Kepulauan Bangka Belitung,62
Maluku,58
Bali,48
Riau,48
Kalimantan Tengah,44
Papua Barat,39
Papua,34
Sulawesi Tengah,33
Sulawesi Barat,24
Maluku Utara,21
Kalimantan Timur,14
Kalimantan Utara,7
Kalimantan Barat,7
