provinsi,jumlah
Jawa Barat,1003
Jawa Timur,960
Jawa Tengah,872
DKI Jakarta,340
Sumatera Selatan,312
Sumatera Utara,306
Aceh,286
Sulawesi Tenggara,259
Sumatera Barat,256
Kalimantan Selatan,221
Lampung,221
Sulawesi Selatan,214
Sulawesi Tengah,189
Sulawesi Utara,188
Kalimantan Timur,167
Jambi,161
Kalimantan Tengah,159
Riau,154
Bengkulu,149
Banten,121
DI Yogyakarta,121
Papua,120
Bali,120
Nusa Tenggara Barat,114
Gorontalo,93
Maluku,89
Kepulauan Riau,69
Sulawesi Barat,68
Kepulauan Bangka Belitung,62
Papua Barat,60
Kalimantan Barat,50
Kalimantan Utara,44
Nusa Tenggara Timur,33
Maluku Utara,16
