provinsi,jumlah
Lampung,255
Sulawesi Selatan,188
Jawa Tengah,174
Jawa Timur,162
Aceh,151
Jawa Barat,147
Kalimantan Selatan,146
Nusa Tenggara Barat,134
Banten,134
DKI Jakarta,134
Sumatera Selatan,134
Jambi,126
Bali,121
Sumatera Utara,115
Riau,107
Sulawesi Utara,100
Kalimantan Timur,98
Sulawesi Tengah,84
Maluku,81
Kalimantan Barat,80
Maluku Utara,73
Kepulauan Riau,71
Sumatera Barat,65
Kalimantan Tengah,63
DI Yogyakarta,62
Kepulauan Bangka Belitung,62
Sulawesi Tenggara,61
Bengkulu,61
Gorontalo,55
Nusa Tenggara Timur,45
Kalimantan Utara,36
Sulawesi Barat,33
Papua Barat,28
Papua,24
