provinsi,persentase
DI Yogyakarta,93.39
Jawa Tengah,73.29
Bali,71.67
Kepulauan Bangka Belitung,71.43
Jawa Timur,65.94
Sumatera Barat,60.22
Sulawesi Selatan,59.2
Gorontalo,58.06
Nusa Tenggara Barat,57.5
Lampung,55.22
Jambi,53.76
Kalimantan Utara,48.98
Kalimantan Timur,46.93
Bengkulu,43.89
Kalimantan Selatan,43.04
Banten,42.49
Riau,41.4
Sumatera Selatan,40.37
Kalimantan Barat,38.17
Kepulauan Riau,37.84
Kalimantan Tengah,35.2
Jawa Barat,34.19
Sulawesi Tengah,33.68
Nusa Tenggara Timur,31.99
Aceh,29.62
Sulawesi Barat,26.6
Sulawesi Utara,24.87
Sumatera Utara,24.52
Papua Barat,19.35
Maluku,18.09
DKI Jakarta,16.76
Sulawesi Tenggara,16.06
Maluku Utara,10.08
Papua,8.12
