provinsi,persentase
Bali,77.78
Jawa Timur,69.62
Nusa Tenggara Timur,68.09
Kalimantan Tengah,66.67
Nusa Tenggara Barat,65.63
Kepulauan Bangka Belitung,63.16
DKI Jakarta,62.24
Sumatera Selatan,60.29
DI Yogyakarta,60.0
Jambi,59.46
Sulawesi Selatan,57.14
Jawa Tengah,56.42
Papua,56.25
Lampung,54.93
Kalimantan Timur,54.55
Bengkulu,54.55
Kalimantan Selatan,53.49
Sumatera Barat,52.56
Sulawesi Barat,50.0
Banten,48.57
Sumatera Utara,45.66
Kepulauan Riau,45.16
Maluku,42.86
Jawa Barat,42.86
Aceh,41.43
Sulawesi Utara,41.3
Riau,38.89
Kalimantan Barat,34.78
Kalimantan Utara,33.33
Gorontalo,30.77
Sulawesi Tenggara,30.3
Sulawesi Tengah,28.57
Papua Barat,26.19
Maluku Utara,22.73
