provinsi,persentase
Sulawesi Barat,100.0
Gorontalo,100.0
Sulawesi Tengah,100.0
Kalimantan Timur,100.0
Kalimantan Selatan,100.0
Kalimantan Barat,100.0
DI Yogyakarta,100.0
Jawa Tengah,100.0
Kepulauan Bangka Belitung,100.0
Jambi,100.0
Riau,100.0
Sumatera Barat,100.0
Lampung,93.33
Kalimantan Tengah,92.86
Nusa Tenggara Barat,90.0
Bali,88.89
Jawa Barat,88.89
Banten,87.5
Nusa Tenggara Timur,86.36
Papua,86.21
Kepulauan Riau,85.71
Sulawesi Tenggara,82.35
Sumatera Selatan,82.35
Aceh,78.26
Sulawesi Selatan,75.0
Sulawesi Utara,73.33
Sumatera Utara,72.73
Bengkulu,70.0
Jawa Timur,63.16
Maluku Utara,60.0
Kalimantan Utara,40.0
Maluku,27.27
Papua Barat,7.69
DKI Jakarta,0.0
