provinsi,persentase
Sulawesi Utara,95.58
Papua Barat,85.71
Sumatera Selatan,85.07
DI Yogyakarta,77.33
Jawa Timur,74.62
Kepulauan Bangka Belitung,69.85
Lampung,68.15
Jawa Tengah,66.26
Gorontalo,66.05
Bali,64.15
Papua,63.57
Jawa Barat,57.74
Sulawesi Barat,57.27
Sulawesi Selatan,56.91
Nusa Tenggara Timur,55.45
Kepulauan Riau,51.32
Nusa Tenggara Barat,51.11
Sumatera Utara,50.85
Riau,49.67
Kalimantan Timur,48.36
Jambi,47.38
Kalimantan Utara,46.43
Sulawesi Tenggara,44.38
Maluku Utara,44.01
Sumatera Barat,41.18
Sulawesi Tengah,34.97
Maluku,33.01
Banten,31.79
Bengkulu,31.15
DKI Jakarta,26.64
Kalimantan Selatan,22.71
Kalimantan Barat,22.22
Aceh,22.02
Kalimantan Tengah,17.7
