provinsi,rasio
DKI Jakarta,7.73
Bali,2.11
Kalimantan Timur,1.74
Maluku,1.69
Jawa Barat,1.68
DI Yogyakarta,1.55
Jawa Tengah,1.53
Kalimantan Selatan,1.5
Banten,1.5
Sumatera Barat,1.5
Sulawesi Selatan,1.47
Jawa Timur,1.45
Kalimantan Tengah,1.44
Bengkulu,1.41
Kalimantan Barat,1.39
Nusa Tenggara Barat,1.38
Sumatera Selatan,1.36
Sulawesi Barat,1.36
epulauan Bangka Belitung,1.34
Jambi,1.32
Lampung,1.3
Riau,1.3
Sumatera Utara,1.29
Sulawesi Tenggara,1.25
Gorontalo,1.21
Nusa Tenggara Timur,1.2
Aceh,1.18
Maluku Utara,1.12
Sulawesi Utara,1.11
Sulawesi Tengah,1.1
Kepulauan Riau,1.06
Kalimantan Utara,0.92
Papua Barat,0.71
Papua,0.7
