provinsi,rasio
DKI Jakarta,2.24
Sulawesi Utara,2.15
DI Yogyakarta,1.83
Aceh,1.72
Sumatera Utara,1.63
Kalimantan Timur,1.62
Bali,1.58
Sulawesi Selatan,1.51
Kalimantan Utara,1.5
Papua Barat,1.47
Kepulauan Riau,1.46
Sulawesi Tengah,1.42
Gorontalo,1.33
Sumatera Barat,1.33
Maluku,1.28
Maluku Utara,1.24
Kepulauan Bangka Belitung,1.23
Kalimantan Selatan,1.22
Bengkulu,1.2
Papua,1.19
Jambi,1.14
Jawa Tengah,1.14
Sumatera Selatan,1.05
Jawa Timur,1.05
Kalimantan Barat,1.03
Sulawesi Tenggara,1.03
Riau,0.99
Lampung,0.88
Banten,0.88
Jawa Barat,0.83
Sulawesi Barat,0.83
Nusa Tenggara Timur,0.82
Kalimantan Tengah,0.79
Nusa Tenggara Barat,0.68
