provinsi,Jumlah Posbindu PTM
Jawa Timur,10432.0
Jawa Tengah,8366.0
Jawa Barat,7274.0
Aceh,4882.0
Sumatera Utara,4376.0
Sulawesi Selatan,3816.0
Nusa Tenggara Timur,2992.0
Sumatera Selatan,2892.0
Sumatera Barat,2527.0
Lampung,2526.0
Nusa Tenggara Barat,2236.0
Sulawesi Tengah,1853.0
DKI Jakarta,1828.0
Kalimantan Selatan,1751.0
Kalimantan Barat,1691.0
Banten,1545.0
Kalimantan Timur,1433.0
Riau,1414.0
Bengkulu,1270.0
Sulawesi Tenggara,1239.0
DI Yogyakarta,1188.0
Kalimantan Tengah,1174.0
Jambi,1106.0
Maluku Utara,748.0
Bali,744.0
Sulawesi Barat,705.0
Sulawesi Utara,617.0
Gorontalo,576.0
Kepulauan Bangka Belitung,567.0
Kepulauan Riau,476.0
Papua Barat,434.0
Maluku,417.0
Papua,289.0
Kalimantan Utara,124.0
