provinsi,Jumlah_UTD_Teregisterasi
Jawa Tengah,33
Jawa Timur,30
Sulawesi Selatan,18
Jawa Barat,18
Aceh,15
Lampung,13
Sumatera Selatan,12
Sumatera Utara,12
Kalimantan Selatan,11
Nusa Tenggara Barat,10
Riau,10
Sumatera Barat,9
Sulawesi Tengah,6
Kalimantan Barat,6
Bali,6
DI Yogyakarta,6
Bengkulu,6
Kalimantan Timur,5
Kalimantan Tengah,5
Kepulauan Bangka Belitung,5
Banten,4
DKI Jakarta,4
Jambi,4
Maluku Utara,3
Maluku,2
Sulawesi Barat,2
Gorontalo,2
Sulawesi Utara,2
Nusa Tenggara Timur,2
Kepulauan Riau,2
Sulawesi Tenggara,1
Kalimantan Utara,1
Papua,0
Papua Barat,0
