provinsi,Pagu Anggaran (Dalam Jutaan Rupiah),Persentase Realisasi
Sulawesi Tengah,11380,97.6
Sulawesi Tenggara,6526,97.5
Bengkulu,6459,96.7
Sumatera Utara,5817,96.7
Gorontalo,4481,96.6
Maluku Utara,12079,94.9
Jambi,7279,94.8
Kalimantan Timur,9423,93.00
Nusa Tenggara Timur,6129,92.2
Lampung,5047,92.0
Kalimantan Tengah,7468,91.8
Papua Barat,6087,91.1
Banten,5515,90.4
Kalimantan Selatan,4798,90.2
Sulawesi Selatan,8215,90.0
Kalimantan Utara,7854,89.2
Bali,8518,89.00
Sulawesi Utara,4995,88.6
DKI Jakarta,5054,88.4
Riau,5274,88.3
Kalimantan Barat,3674,87.2
Sulawesi Barat,7019,87.0
Sumatera Barat,5271,86.7
Jawa Tengah,5833,83.8
Aceh,10959,83.7
Jawa Timur,7281,79.9
Kepulauan Riau,7957,78.9
Nusa Tenggara Barat,8038,78.7
Sumatera Selatan,7093,77.3
Kepulauan Bangka Belitung,11615,75.1
Maluku,5440,74.4
Papua,9789,62.3
DI Yogyakarta,6358,56.00
Jawa Barat,11303,48.1
