gambar;judul
Gambar 2.1;Jumlah Puskesmas Di Indonesia Tahun 2014-2018
Gambar 2.2;Rasio Puskesmas Per Kecamatan Di Indonesia Tahun 2018
Gambar 2.3;Peta Rasio Puskesmas Per Kecamatan Di Indonesia Tahun 2018
Gambar 2.4;Persentase Akreditasi Puskesmas Di Indonesia Tahun 2018
Gambar 2.5;Persentase Dan Jumlah Puskesmas Yang Memberikan Pelayanan Sesuai Standar Di Indonesia Tahun 2018
Gambar 2.6;Jumlah Puskesmas Rawat Inap Dan Non Rawat Inap Di Indonesia Tahun 2014 – 2018
Gambar 2.7;Persentase Puskesmas Yang Melaksanakan Pelayanan Kesehatan Kerja Dasar Di Indonesia Tahun 2018
Gambar 2.8;Persentase Puskesmas Yang Melaksanakan Kegiatan Kesehatan Olahraga Pada Kelompok Masyarakat Di Indonesia 2018
Gambar 2.9;Persentase Puskesmas Yang Melaksanakan Kegiatan Kesehatan Olahraga Bagi Anak Sekolah Dasar (Sd) Di Indonesia Tahun 2018
Gambar 2.10;Tren Jumlah Puskesmas Yang Menyelenggarakan Pelayanan Kesehatan Tradisional Di Indonesia Tahun 2014-2018
Gambar 2.11;Persentase Dan Jumlah Puskesmas Yang Menyelenggarakan Pelayanan Kesehatan Tradisional Di Indonesia Tahun 2018
Gambar 2.12;Puskesmas Yang Menyelenggarakan Hatra, Asman, Dan Pelatihan Nakes Di Indonesia Tahun 2018
Gambar 2.13;Jumlah Klinik Utama Per Provinsi Di Indonesia Tahun 2018
Gambar 2.14;Jumlah Klinik Pratama Per Provinsi Di Indonesia Tahun 2018
Gambar 2.15;Jumlah Praktik Mandiri Dokter Umum Per Provinsi Di Indonesia Tahun 2018
Gambar 2.16;Jumlah Praktik Mandiri Dokter Gigi Per Provinsi Di Indonesia Tahun 2018
Gambar 2.17;Perkembangan Jumlah Rumah Sakit Umum Dan Rumah Sakit Khusus Di Indonesia Tahun 2014 – 2018
Gambar 2.18;Persentase Rumah Sakit Menurut Kelas Di Indonesia Tahun 2018
Gambar 2.19;Tren Jumlah Rumah Sakit Umum Dan Jumlah Tidur Tahun 2014-2018
Gambar 2.20;Tren Jumlah Rumah Sakit Khusus Dan Jumlah Tidur Tahun 2014-2018
Gambar 2.21;Rasio Jumlah Tempat Tidur Rumah Sakit Per 1.000 Penduduk Di Indonesia Tahun  2014 – 2018
Gambar 2.22;Rasio Tempat Tidur Rumah Sakit Per 1.000 Penduduk Di Indonesia Tahun 2018
Gambar 2.23;Persentase Jumlah Tempat Tidur Menurut Kelas Perawatan Di Rumah Sakit Indonesia Tahun 2018
Gambar 2.24;Persentase Akreditasi Rumah Sakit Di Indonesia Tahun 2018
Gambar 2.25;Distribusi Unit Transfusi Darah (Utd) Di Indonesia Tahun 2018
Gambar 2.26;Jumlah Sarana Produksi Kefarmasian Dan Alat Kesehatan Di Indonesia Tahun 2018
Gambar 2.27;Jumlah Sarana Distribusi Kefarmasian Dan Alat Kesehatan Di Indonesia Tahun 2018
Gambar 2.28;Persentase Instalasi Farmasi Kabupaten/Kota Yang Melakukan Manajemen Pengelolaan Obat Dan Vaksin Sesuai Standar Di Indonesia Tahun 2018
Gambar 2.29;Persentase Posyandu Aktif Per Provinsi Di Indonesia Tahun 2018
