gambar;judul;halaman
Gambar 2.1;Jumlah Puskesmas Di Indonesia Tahun 2016 - 2021;22
Gambar 2.2;Rasio Puskesmas Per Kecamatan Di Indonesia Tahun 2021;23
Gambar 2.3;Jumlah Puskesmas Rawat Inap Dan Non Rawat Inap Di Indonesia Tahun 2017-2021;24
Gambar 2.4;Persentase Puskesmas Dengan 9 (Sembilan) Sesuai Standar Jenis Tenaga Kesehatan Menurut Provinsi Tahun 2021;25
Gambar 2.5;Persentase Puskesmas Tanpa Dokter Menurut Provinsi Tahun 2021;26
Gambar 2.6;Jumlah Kabupaten/Kota Yang Melaksanakan Kesehatan Kerja Menurut Provinsi Tahun 2021;28
Gambar 2.7;Jumlah Kabupaten/Kota Yang Melaksanakan Kesehatan Olahraga Menurut Provinsi Tahun 2021;29
Gambar 2.8;Jumlah Pelaksanaan Kesehatan Kerja Di Tempat Kerja Di Indonesia Tahun 2021;30
Gambar 2.9;Jumlah Pelaksanaan Kesehatan Olahraga Di Indonesia Tahun 2021;31
Gambar 2.10;Puskesmas Yang Menyelenggarakan Hattra, Asman, Dan Pelatihan Nakes Di Indonesia Tahun 2021;33
Gambar 2.11;Jumlah Rumah Sakit Pemerintah Dengan Tenaga Kesehatan Yang Sudah Dilatih Di Indonesia Tahun 2021;33
Gambar 2.12;Proporsi Klinik Teregistrasi Menurut Kepemilikan Di Indonesia Tahun 2021;34
Gambar 2.13;Jumlah Klinik Pratama Teregistrasi Menurut Provinsi Di Indonesia;35
Gambar 2.14;Jumlah Klinik Utama Teregistrasi Menurut Provinsi Di Indonesia Tahun 2021;35
Gambar 2.15;Jumlah Tempat Praktik Mandiri Dokter Yang Bekerjasama Dengan Bpjs Kesehatan Menurut Provinsi Di Indonesia Tahun 2021;36
Gambar 2.16;Jumlah Tempat Praktik Mandiri Dokter Gigi Yang Bekerjasama Dengan Bpjs Kesehatan Menurut Provinsi Di Indonesia Tahun 2021;37
Gambar 2.17;Jumlah Unit Transfusi Darah Teregistrasi Menurut Provinsi Di Indonesia Tahun 2021;38
Gambar 2.18;Jumlah Laboratorium Kesehatan Menurut Kepemilikan Dan Provinsi Tahun 2021;39
Gambar 2.19;Jumlah Laboratorium Kesehatan Menurut Provinsi Tahun 2021;40
Gambar 2.20;Perkembangan Jumlah Rumah Sakit Umum Dan Rumah Sakit Khusus Di Indonesia Tahun 2017 – 2021;41
Gambar 2.21;Jumlah Rumah Sakit Menurut Kelas Tahun 2021;42
Gambar 2.22;Persentase Rumah Sakit Kabupaten/Kota Kelas C Yang Memiliki 4 Dokter Spesialis Dasar Dan 3 Dokter Spesialis Penunjang Tahun 2021;43
Gambar 2.23;Rasio Jumlah Tempat Tidur Rumah Sakit Per 1.000 Penduduk Di Indonesia Tahun 2016 - 2021;44
Gambar 2.24;Rasio Tempat Tidur Rumah Sakit Per 1.000 Penduduk Di Indonesia Menurut Provinsi Tahun 2020;45
Gambar 2.25;Persentase Rumah Sakit Terakreditasi Di Indonesia Menurut Provinsi Tahun 2021;46
Gambar 2.26;Persentase Puskesmas Dengan Ketersediaan Obat Esensial Tahun 2021;48
Gambar 2.27;Persentase Kabupaten/Kota Dengan Ketersediaan Obat Esensial Tahun 2021;49
Gambar 2.28;Persentase Puskesmas Dengan Ketersediaan Vaksin Idl (Imunisasi Dasar Lengkap) Tahun 2021;51
Gambar 2.29;Jumlah Sarana Produksi Kefarmasian Dan Alat Kesehatan Di Indonesia Tahun 2021;52
Gambar 2.30;Jumlah Sarana Distribusi Kefarmasian Dan Alat Kesehatan Di Indonesia Tahun 2021;53
Gambar 2.31;Persentase Kabupaten/Kota Dengan Minimal 80 Persen Posyandu Aktif Per Provinsi Di Indonesia Tahun 2021;54
Gambar 2.32;Jumlah Posbindu Ptm Per Provinsi Di Indonesia Tahun 2021;55
