provinsi,jumlah
Jawa Barat,312
DKI Jakarta,228
Jawa Timur,215
Jawa Tengah,152
Nusa Tenggara Timur,63
Sumatera Utara,50
Kalimantan Selatan,44
Sumatera Barat,37
Bengkulu,35
Bali,33
Kalimantan Timur,32
Sumatera Selatan,30
Sulawesi Selatan,29
Kalimantan Tengah,28
DI Yogyakarta,26
Kalimantan Barat,25
Nusa Tenggara Barat,20
Banten,20
Lampung,19
Sulawesi Tenggara,15
Jambi,14
Riau,14
Papua,13
Kepulauan Riau,13
Aceh,12
Kepulauan Bangka Belitung,10
Gorontalo,8
Sulawesi Utara,8
Kalimantan Utara,8
Maluku Utara,7
Maluku,6
Sulawesi Barat,4
Sulawesi Tengah,3
Papua Barat,2
