provinsi,rasio
DKI Jakarta,7.2
Bali,2.1
Maluku,1.8
Kalimantan Timur,1.8
Jawa Barat,1.7
Banten,1.6
DI Yogyakarta,1.6
Kalimantan Selatan,1.5
Sumatera Barat,1.5
Jawa Tengah,1.5
Kalimantan Tengah,1.5
Nusa Tenggara Barat,1.5
Sulawesi Selatan,1.5
Jambi,1.5
Jawa Timur,1.5
Sumatera Selatan,1.4
Kalimantan Barat,1.4
Sulawesi Barat,1.4
Bengkulu,1.4
Lampung,1.4
Riau,1.4
Kepulauan Bangka Belitung,1.4
Sumatera Utara,1.4
Sulawesi Tenggara,1.3
Nusa Tenggara Timur,1.3
Maluku Utara,1.3
Aceh,1.2
Gorontalo,1.2
Sulawesi Tengah,1.2
Kepulauan Riau,1.2
Sulawesi Utara,1.1
Kalimantan Utara,1.0
Papua,0.8
Papua Barat,0.7
